sample-id	sublibrary_id	sample_type	management_type	farm_id	unique_farm_id	tree_id	tree_n	flower_n	collection_batch	extraction_batch	16s_pcr_batch	its1_pcr_batch	is_specimen	is_pollination	is_fungi
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
cib11	C1_14C_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	1	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	1	1
cib12	D1_14B_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	1	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib13	E1_13E_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	1	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib21	F1_13F_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib22	G1_13G_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib23	H1_20H_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib31	A2_13A_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	3	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib32	B2_13B_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	3	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib33	C2_14C_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	3	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib41	D2_14B_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	4	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib42	E2_13E_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	4	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib43	F2_13F_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	4	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib51	G2_13G_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib5	5	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	1	NA
cib52	H2_20H_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib5	5	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	0	NA	NA
cib53	A3_13A_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib5	5	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	0
cib61	B3_13B_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	6	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	NA
cib62	C3_14C_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	6	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	NA
cib63	D3_14B_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	6	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	1	NA	NA
cib71	E3_13E_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	7	1	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	NA
cib72	F3_13F_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	7	2	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	0
cib73	G3_13G_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	7	3	2023-12-15	2024-10-01	2024-10-14	2024-10-02	2	0	NA
cibEC	B1_13B_13_12	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	NA	NA	2024-10-01	2024-10-14	2024-10-02	NA	NA	NA
cibNC	A1_13A_13_12	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	NA	NA	2024-10-14	2024-10-02	NA	NA	NA
cibPC	H3_20H_13_03	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	NA	NA	2024-10-14	2024-10-02	NA	NA	NA
pib11	C4_14C_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib1	1	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	0	NA	NA
pib12	D4_14B_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib1	1	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib13	E4_13E_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib1	1	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	0	NA
pib21	F4_13F_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib2	2	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pib22	G4_13G_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib2	2	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pib23	H4_20H_13_04	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib2	2	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	1
pib31	A5_13A_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib3	3	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib32	B5_13B_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib3	3	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pib33	C5_14C_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib3	3	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib41	D5_14B_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib4	4	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	1
pib42	E5_13E_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib4	4	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	1
pib43	F5_13F_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib4	4	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib51	G5_13G_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib5	5	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib52	H5_20H_19_08	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib5	5	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	NA
pib53	A6_13A_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib5	5	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pib61	B6_13B_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib6	6	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	NA
pib62	C6_14C_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib6	6	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pib63	D6_14B_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib6	6	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	1	NA	NA
pib71	E6_13E_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib7	7	1	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	1
pib72	F6_13F_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib7	7	2	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	0	1
pib73	G6_13G_13_06	openly_pollinated_flower	inside_forest	issac_boadu	ib	ib7	7	3	2023-12-15	2024-10-03	2024-10-24	2024-10-04	2	1	0
pibEC	B4_13B_13_04	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	NA	NA	2024-10-03	2024-10-24	2024-10-04	NA	NA	NA
pibNC	A4_13A_13_04	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	NA	NA	2024-10-24	2024-10-04	NA	NA	NA
pibPC	H6_20H_13_06	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	NA	NA	2024-10-24	2024-10-04	NA	NA	NA
cvi11	C1_14C_13_12	bagged_flower	full_sun	victor	vi	vi1	1	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi12	D1_14B_13_12	bagged_flower	full_sun	victor	vi	vi1	1	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	0	NA	NA
cvi13	E1_13E_13_12	bagged_flower	full_sun	victor	vi	vi1	1	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi21	F1_13F_13_12	bagged_flower	full_sun	victor	vi	vi2	2	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	1	NA	NA
cvi22	G1_13G_13_12	bagged_flower	full_sun	victor	vi	vi2	2	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi23	H1_20H_13_12	bagged_flower	full_sun	victor	vi	vi2	2	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi31	A2_13A_13_02	bagged_flower	full_sun	victor	vi	vi3	3	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	1	NA	NA
cvi32	B2_13B_13_02	bagged_flower	full_sun	victor	vi	vi3	3	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	1	NA	NA
cvi33	C2_14C_13_02	bagged_flower	full_sun	victor	vi	vi3	3	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi41	D2_14B_13_02	bagged_flower	full_sun	victor	vi	vi4	4	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi42	E2_13E_13_02	bagged_flower	full_sun	victor	vi	vi4	4	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	0	NA	NA
cvi43	F2_13F_13_02	bagged_flower	full_sun	victor	vi	vi4	4	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi51	G2_13G_13_02	bagged_flower	full_sun	victor	vi	vi5	5	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi52	H2_20H_13_02	bagged_flower	full_sun	victor	vi	vi5	5	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi53	A3_13A_13_03	bagged_flower	full_sun	victor	vi	vi5	5	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi61	B3_13B_13_03	bagged_flower	full_sun	victor	vi	vi6	6	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi62	C3_14C_13_03	bagged_flower	full_sun	victor	vi	vi6	6	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi63	D3_14B_13_03	bagged_flower	full_sun	victor	vi	vi6	6	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cvi71	E3_13E_13_03	bagged_flower	full_sun	victor	vi	vi7	7	1	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi72	F3_13F_13_03	bagged_flower	full_sun	victor	vi	vi7	7	2	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	1	0
cvi73	G3_13G_13_03	bagged_flower	full_sun	victor	vi	vi7	7	3	2023-12-14	2024-10-06	2024-10-29	2024-10-07	2	0	0
cviEC	B1_13B_13_12	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	NA	NA	2024-10-06	2024-10-29	2024-10-07	NA	NA	NA
cviNC	A1_13A_13_12	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	negative_pcr_control	NA	NA	NA	NA	2024-10-29	2024-10-07	NA	NA	NA
cviPC	H3_20H_13_03	mock_community	mock_community	mock_community	mock_community	mock_community	NA	NA	NA	NA	2024-10-29	2024-10-07	NA	NA	NA
pvi11	C4_14C_13_04	openly_pollinated_flower	full_sun	victor	vi	vi1	1	1	2023-12-14	2024-10-08	2024-10-31	2024-10-09	2	0	1
pvi12	D4_14B_13_04	openly_pollinated_flower	full_sun	victor	vi	vi1	1	2	2023-12-14	2024-10-08	2024-10-31	2024-10-09	2	1	1
pvi13	E4_13E_13_04	openly_pollinated_flower	full_sun	victor	vi	vi1	1	3	2023-12-14	2024-10-08	2024-10-31	2024-10-09	2	1	1
pvi21	F4_13F_13_04	openly_pollinated_flower	full_sun	victor	vi	vi2	2	1	2023-12-14	2024-10-08	2024-10-31	2024-10-09	2	1	1
pvi22	G4_13G_13_04	openly_pollinated_flower	full_sun	victor	vi	vi2	2	2	2023-12-14	2024-10-08	2024-10-31	2024-10-09	1	NA	NA
pvi23	H4_20H_13_04	openly_pollinated_flower	full_sun	victor	vi	vi2	2	3	2023-12-14	2024-10-08	2024-10-31	2024-10-09	1	NA	NA
