sample-id	sublibrary_id	sample_type	management_type	farmer	farm_id	tree_id	collection_batch	extraction_batch	pcr_batch_16s	fwd_primer_16s	rev_primer_16s	dna_concentration_hs_16s	qubit_batch_16s	pcr_batch_its1	fwd_primer_its1	rev_primer_its1	dna_concentration_hs_its1	qubit_batch_its1	is_specimen	dye	dye_concentration	specimen_qc_pass	is_pollination_dic	pi_dic	is_pollination_clsm	pi_clsm	is_germination	callose_plug_index	is_hyphae_present	is_spore_present	fungal_colonization_score	is_insect_present	
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	categorical	numeric	categorical	categorical	categorical	numeric	categorical	categorical	numeric	categorical	numeric	categorical	numeric	categorical	categorical	categorical	categorical	
cib11	C1_14C_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	13,700	2024-12-07	2024-10-02	ITS1fA	ITS2r2	6,160	2024-12-29	1	dAB	0,1%	1	0	0	1	11	0	0	1	0	1	0	
cib12	D1_14B_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	10,500	2024-12-07	2024-10-02	ITS1fA	ITS2r2	2,660	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib13	E1_13E_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib1	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	7,780	2024-12-07	2024-10-02	ITS1fA	ITS2r2	3,720	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib21	F1_13F_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	8,880	2024-12-07	2024-10-02	ITS1fA	ITS2r2	7,880	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib22	G1_13G_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	10,700	2024-12-07	2024-10-02	ITS1fA	ITS2r2	4,240	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib23	H1_20H_13_12	bagged_flower	inside_forest	issac_boadu	ib	ib2	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	22,400	2024-12-07	2024-10-02	ITS1fA	ITS2r2	33,600	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib31	A2_13A_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	23,600	2024-12-07	2024-10-02	ITS1fA	ITS2r2	1,890	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib32	B2_13B_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	19,900	2024-12-07	2024-10-02	ITS1fA	ITS2r2	1,050	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib33	C2_14C_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib3	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	28,200	2024-12-07	2024-10-02	ITS1fA	ITS2r2	2,480	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib41	D2_14B_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	20,200	2024-12-07	2024-10-02	ITS1fA	ITS2r2	6,900	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib42	E2_13E_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	13,100	2024-12-07	2024-10-02	ITS1fA	ITS2r2	1,480	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib43	F2_13F_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib4	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	11,000	2024-12-07	2024-10-02	ITS1fA	ITS2r2	2,380	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib51	G2_13G_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	10,300	2024-12-07	2024-10-02	ITS1fA	ITS2r2	3,460	2024-12-29	1	dAB	0,01%	1	0	0	1	12	0	0	0	0	0	0	
cib52	H2_20H_13_02	bagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	15,600	2024-12-07	2024-10-02	ITS1fA	ITS2r2	6,520	2024-12-29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib53	A3_13A_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib5	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	43,600	2024-12-07	2024-10-02	ITS1fA	ITS2r2	20,400	2024-12-29	1	dAB	0,1%	1	0	0	0	0	0	0	0	0	0	0	
cib61	B3_13B_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	15,100	2024-12-07	2024-10-02	ITS1fA	ITS2r2	7,760	2024-12-29	1	RR	0,001%	1	0	0	0	0	NA	NA	NA	NA	NA	0	
cib62	C3_14C_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	8,160	2024-12-07	2024-10-02	ITS1fA	ITS2r2	6,240	2024-12-29	1	RR	0,001%	1	0	0	0	0	NA	NA	NA	NA	NA	0	
cib63	D3_14B_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib6	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	10,400	2024-12-07	2024-10-02	ITS1fA	ITS2r2	1,290	2024-12-29	1	dAB	0,1%	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	
cib71	E3_13E_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	18,100	2024-12-07	2024-10-02	ITS1fA	ITS2r2	2,360	2024-12-29	1	dAB	0,01%	1	0	0	0	0	0	0	0	0	0	0	
cib72	F3_13F_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	5,520	2024-12-07	2024-10-02	ITS1fA	ITS2r2	18,600	2024-12-29	1	no_stain	NA	1	0	0	0	0	NA	NA	NA	NA	NA	0	
cib73	G3_13G_13_03	bagged_flower	inside_forest	issac_boadu	ib	ib7	2023-12-15	2024-10-01	2024-10-14	515fA	806r1	13,900	2024-12-07	2024-10-02	ITS1fA	ITS2r2	2,700	2024-12-29	1	RR	0,01%	1	0	0	0	0	NA	NA	NA	NA	NA	0	
cibEC	B1_13B_13_12	extraction_control	extraction_control	extraction_control	extraction_control	extraction_control	NA	2024-10-01	2024-10-14	515fA	806r1	0,582	2024-12-07	2024-10-02	ITS1fA	ITS2r2	0,274	2024-12-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	
