run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	id	biosamplemodel	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR23126322	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077292	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m1_2_1_16S	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492252	-	SAMN32798685	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	171398	16358193	171398	76957320	m1_2_1_1.fq	SRR23126322.lite	11753888	2023-01-29 06:59:17	3554b2a57be48c519910a4faa4009f8c	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126322/SRR23126322.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126322/SRR23126322.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126322/SRR23126322.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126322/SRR23126322.lite.1	gs.us-east1	gcp identity	-	2021-12-03	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m1_2_1	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/022/SRR23126322/SRR23126322_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/022/SRR23126322/SRR23126322_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/022/SRR23126322/SRR23126322_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/022/SRR23126322/SRR23126322_2.fastq.gz
SRR23126323	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077291	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m1_1_9_16S	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492251	-	SAMN32798684	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	169266	17716421	169266	75999907	m1_1_9_1.fq	SRR23126323.lite	13123586	2023-01-29 06:59:16	c3ed4207699a6eb543d00e642f38dc35	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126323/SRR23126323.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126323/SRR23126323.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126323/SRR23126323.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126323/SRR23126323.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m1_1_9	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/023/SRR23126323/SRR23126323_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/023/SRR23126323/SRR23126323_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/023/SRR23126323/SRR23126323_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/023/SRR23126323/SRR23126323_2.fastq.gz
SRR23126324	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077290	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_9F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492250	-	SAMN32798754	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	181136	29273933	181136	80786391	m3_1_9F_1.fq	SRR23126324.lite	20380355	2023-01-29 06:59:17	0f318578256c88bb4f318ae47444966f	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126324/SRR23126324.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126324/SRR23126324.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126324/SRR23126324.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126324/SRR23126324.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_9F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/024/SRR23126324/SRR23126324_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/024/SRR23126324/SRR23126324_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/024/SRR23126324/SRR23126324_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/024/SRR23126324/SRR23126324_2.fastq.gz
SRR23126325	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077289	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_8F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492249	-	SAMN32798753	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	152276	24690307	152276	67914783	m3_1_8F_1.fq	SRR23126325.lite	17183348	2023-01-29 14:32:01	97ddad82e336b639487f73b398115f2e	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126325/SRR23126325.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126325/SRR23126325.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126325/SRR23126325.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126325/SRR23126325.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_8F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/025/SRR23126325/SRR23126325_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/025/SRR23126325/SRR23126325_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/025/SRR23126325/SRR23126325_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/025/SRR23126325/SRR23126325_2.fastq.gz
SRR23126326	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077288	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_7F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492248	-	SAMN32798752	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	182518	28897370	182518	81402574	m3_1_7F_1.fq	SRR23126326.lite	20187571	2023-01-29 12:09:28	fef36a5859afb704429a5cb277e17e81	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126326/SRR23126326.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126326/SRR23126326.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126326/SRR23126326.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126326/SRR23126326.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_7F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/026/SRR23126326/SRR23126326_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/026/SRR23126326/SRR23126326_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/026/SRR23126326/SRR23126326_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/026/SRR23126326/SRR23126326_2.fastq.gz
SRR23126327	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077287	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_6F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492247	-	SAMN32798751	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	124768	18887673	124768	55646253	m3_1_6F_1.fq	SRR23126327.lite	13152408	2023-01-29 14:32:00	1200c07d41243e9110bac31bea04309e	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126327/SRR23126327.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126327/SRR23126327.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126327/SRR23126327.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126327/SRR23126327.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_6F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/027/SRR23126327/SRR23126327_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/027/SRR23126327/SRR23126327_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/027/SRR23126327/SRR23126327_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/027/SRR23126327/SRR23126327_2.fastq.gz
SRR23126328	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077286	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_5F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492246	-	SAMN32798750	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	162919	26519729	162919	72661142	m3_1_5F_1.fq	SRR23126328.lite	18411391	2023-01-29 14:32:01	caf4f3b1010d971384b9eb7a109a2bf2	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126328/SRR23126328.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126328/SRR23126328.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126328/SRR23126328.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126328/SRR23126328.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_5F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/028/SRR23126328/SRR23126328_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/028/SRR23126328/SRR23126328_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/028/SRR23126328/SRR23126328_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/028/SRR23126328/SRR23126328_2.fastq.gz
SRR23126329	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077285	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_4F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492244	-	SAMN32798749	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	154677	25392976	154677	68985149	m3_1_4F_1.fq	SRR23126329.lite	17554909	2023-01-29 06:02:55	961804227ec512e0509209ca56055131	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126329/SRR23126329.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126329/SRR23126329.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126329/SRR23126329.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126329/SRR23126329.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_4F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/029/SRR23126329/SRR23126329_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/029/SRR23126329/SRR23126329_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/029/SRR23126329/SRR23126329_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/029/SRR23126329/SRR23126329_2.fastq.gz
SRR23126330	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077284	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_3F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492245	-	SAMN32798748	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	157115	25721022	157115	70072731	m3_1_3F_1.fq	SRR23126330.lite	17781305	2023-01-29 06:02:54	8ceb7e1c3bfb894bc79ee5cdfabce4c4	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126330/SRR23126330.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126330/SRR23126330.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126330/SRR23126330.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126330/SRR23126330.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_3F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/030/SRR23126330/SRR23126330_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/030/SRR23126330/SRR23126330_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/030/SRR23126330/SRR23126330_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/030/SRR23126330/SRR23126330_2.fastq.gz
SRR23126331	SRP418302	Cacao phyllosphere microbiome is related to Phytophthora palmivora resistance	SRX19077283	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	amplicon sequencing of Theobroma cacao: phyllosphere microbiome	662107	phyllosphere metagenome	m3_1_2F_ITS	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS16492243	-	SAMN32798747	PRJNA925518	Illumina NovaSeq 6000	Illumina NovaSeq 6000	ILLUMINA	186326	30389041	186326	83100525	m3_1_2F_1.fq	SRR23126331.lite	21089486	2023-01-29 15:50:12	0f60b3bf1d1c77143a19e184e9631185	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-5/SRR23126331/SRR23126331.lite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126331/SRR23126331.lite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126331/SRR23126331.lite.1	worldwide	anonymous	gs://sra-pub-zq-102/SRR23126331/SRR23126331.lite.1	gs.us-east1	gcp identity	-	2021-11-19	cacao field	cacao tree	plant leaf	USA: Miami, FL	Theobroma cacao	25.64 N 80.29 W	m3_1_2F	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/031/SRR23126331/SRR23126331_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR231/031/SRR23126331/SRR23126331_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/031/SRR23126331/SRR23126331_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR231/031/SRR23126331/SRR23126331_2.fastq.gz
