Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR23126323,2023-09-07 15:36:33,2023-01-19 15:03:17,169266,75999907,169266,448,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126323/SRR23126323.lite.1,SRX19077291,m1_1_9_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492251,SAMN32798684,simple,662107,phyllosphere metagenome,m1_1_9,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,676D103FD6001CA8017824E5A2C8FD9E,6815A2E04760F05A17183B15941CF31B
SRR23126322,2023-09-07 15:36:33,2023-01-19 15:03:24,171398,76957320,171398,448,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126322/SRR23126322.lite.1,SRX19077292,m1_2_1_16S,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492252,SAMN32798685,simple,662107,phyllosphere metagenome,m1_2_1,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,0F503B3799848E593E03E9DFB3EC3EC1,F4F069A5596A8DD2183AD9D75646EFA7
SRR23126326,2023-09-07 15:36:33,2023-01-19 15:03:32,182518,81402574,182518,445,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126326/SRR23126326.lite.1,SRX19077288,m3_1_7F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492248,SAMN32798752,simple,662107,phyllosphere metagenome,m3_1_7F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,B8C4ADCB361F73EEB80B2251C390BD31,D93BBD3C2A37F9CDE48B00D97B421BB3
SRR23126325,2023-09-07 15:36:33,2023-01-19 15:03:10,152276,67914783,152276,445,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126325/SRR23126325.lite.1,SRX19077289,m3_1_8F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492249,SAMN32798753,simple,662107,phyllosphere metagenome,m3_1_8F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,7730DFC350A8C98B96C995CF42DA0E99,F1A67E6424C45966ED5D75CB00B17D0B
SRR23126324,2023-09-07 15:36:33,2023-01-19 15:03:19,181136,80786391,181136,445,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126324/SRR23126324.lite.1,SRX19077290,m3_1_9F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492250,SAMN32798754,simple,662107,phyllosphere metagenome,m3_1_9F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,01AB2219429E8642E4C9B95584A77323,8CDD1904038634FCD42CBCD979E69345
SRR23126331,2023-09-07 15:36:33,2023-01-19 15:04:33,186326,83100525,186326,445,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126331/SRR23126331.lite.1,SRX19077283,m3_1_2F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492243,SAMN32798747,simple,662107,phyllosphere metagenome,m3_1_2F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,7D16CD86CE19267C04160245C5552CBE,1665835E8C81B26D75D1346EBE7BDBF7
SRR23126330,2023-09-07 15:36:33,2023-01-19 15:03:33,157115,70072731,157115,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126330/SRR23126330.lite.1,SRX19077284,m3_1_3F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492245,SAMN32798748,simple,662107,phyllosphere metagenome,m3_1_3F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,CB7E9C628DF50D30BC91D57657852322,9F8803D7DFD3DEE9BAB209ED457208F8
SRR23126329,2023-09-07 15:36:33,2023-01-19 15:03:19,154677,68985149,154677,445,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126329/SRR23126329.lite.1,SRX19077285,m3_1_4F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492244,SAMN32798749,simple,662107,phyllosphere metagenome,m3_1_4F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,2D14EB6547BDE05C63D50ECEBADC8CDB,C67E8F4C437A1CA3BA3A4E912CB8C036
SRR23126328,2023-09-07 15:36:33,2023-01-19 15:03:23,162919,72661142,162919,445,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126328/SRR23126328.lite.1,SRX19077286,m3_1_5F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492246,SAMN32798750,simple,662107,phyllosphere metagenome,m3_1_5F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,0495B3609892CC49C9F076E7FEDED709,1CD8EE8BCF810D620E1A6807E0966665
SRR23126327,2023-09-07 15:36:33,2023-01-19 15:03:19,124768,55646253,124768,445,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR023/23126/SRR23126327/SRR23126327.lite.1,SRX19077287,m3_1_6F_ITS,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP418302,PRJNA925518,,925518,SRS16492247,SAMN32798751,simple,662107,phyllosphere metagenome,m3_1_6F,,,,,,,no,,,,,MARS WRIGLEY,SRA1576723,,public,C9410B6825B15263262F7735F1ADDC0B,F92F918B5ABB2CC3CA7C34C1458D0970
