run_accession	study_accession	study_title	experiment_accession	experiment_title	experiment_desc	organism_taxid	organism_name	library_name	library_strategy	library_source	library_selection	library_layout	sample_accession	sample_title	biosample	bioproject	instrument	instrument_model	instrument_model_desc	total_spots	total_size	run_total_spots	run_total_bases	run_alias	public_filename	public_size	public_date	public_md5	public_version	public_semantic_name	public_supertype	public_sratoolkit	aws_url	aws_free_egress	aws_access_type	public_url	ncbi_url	ncbi_free_egress	ncbi_access_type	gcp_url	gcp_free_egress	gcp_access_type	experiment_alias	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	altitude	temp	tree_height	plantation	replicate	biosamplemodel	ena_fastq_http	ena_fastq_http_1	ena_fastq_http_2	ena_fastq_ftp	ena_fastq_ftp_1	ena_fastq_ftp_2
SRR10614059	SRP235361	Theobroma cacao leaf metagenome	SRX7293347	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree36	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree36	1297858	leaf metagenome	Fun_T36	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786641	-	SAMN13519340	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	76746	29965293	76746	45406069	Fun_T36_R1.fastq.gz	SRR10614059.sralite	11694441	2020-06-24 01:50:39	798c2a53ffd3a5a32dcabcf015ce2786	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-8/SRR10614059/SRR10614059.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614059.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614059.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614059/SRR10614059.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Bakoa	Theobroma cacao	4.5739 N 11.1798 E	683m	24.87	8.3m	Bakoa	Bakoa_rep4	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/059/SRR10614059/SRR10614059_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/059/SRR10614059/SRR10614059_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/059/SRR10614059/SRR10614059_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/059/SRR10614059/SRR10614059_2.fastq.gz
SRR10614060	SRP235361	Theobroma cacao leaf metagenome	SRX7293346	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree35	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree35	1297858	leaf metagenome	Fun_T35	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786640	-	SAMN13519339	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	10164	4085271	10164	5967227	Fun_T35_R1.fastq.gz	SRR10614060.sralite	1606168	2020-06-20 10:57:53	a9fb63a3500fe50a5e6fa259d7b54c86	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR10614060/SRR10614060.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614060.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614060.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614060/SRR10614060.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Bakoa	Theobroma cacao	4.5739 N 11.1798 E	683m	24.87	7.8m	Bakoa	Bakoa_rep3	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/060/SRR10614060/SRR10614060_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/060/SRR10614060/SRR10614060_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/060/SRR10614060/SRR10614060_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/060/SRR10614060/SRR10614060_2.fastq.gz
SRR10614061	SRP235361	Theobroma cacao leaf metagenome	SRX7293345	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree34	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree34	1297858	leaf metagenome	Fun_T34	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786639	-	SAMN13519338	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	64260	24822176	64260	37623259	Fun_T34_R1.fastq.gz	SRR10614061.sralite	9716255	2020-06-20 10:58:01	8ffe8cbc292d3ddb2479c5ef10f785c1	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR10614061/SRR10614061.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614061.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614061.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614061/SRR10614061.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Bakoa	Theobroma cacao	4.5768 N 11.1798 E	689m	26.92	10m	Bakoa	Bakoa_rep2	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/061/SRR10614061/SRR10614061_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/061/SRR10614061/SRR10614061_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/061/SRR10614061/SRR10614061_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/061/SRR10614061/SRR10614061_2.fastq.gz
SRR10614062	SRP235361	Theobroma cacao leaf metagenome	SRX7293344	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree33	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree33	1297858	leaf metagenome	Fun_T33	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786638	-	SAMN13519337	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	123636	49270364	123636	74168797	Fun_T33_R1.fastq.gz	SRR10614062.sralite	18961229	2020-06-20 10:57:59	8c94099a7a4d11b4ea01d76f838c5c74	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR10614062/SRR10614062.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614062.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614062.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614062/SRR10614062.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Bakoa	Theobroma cacao	4.5768 N 11.1798 E	689m	26.92	10.4m	Bakoa	Bakoa_rep1	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/062/SRR10614062/SRR10614062_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/062/SRR10614062/SRR10614062_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/062/SRR10614062/SRR10614062_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/062/SRR10614062/SRR10614062_2.fastq.gz
SRR10614063	SRP235361	Theobroma cacao leaf metagenome	SRX7293343	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree32	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree32	1297858	leaf metagenome	Fun_T32	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786637	-	SAMN13519336	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	73219	30574586	73219	43605277	Fun_T32_R1.fastq.gz	SRR10614063.sralite	11208526	2020-06-19 19:47:40	1b1f78ddbd1b3d7158ebd3244aec1a82	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR10614063/SRR10614063.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614063.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614063.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614063/SRR10614063.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.4977 E	143m	28.51	6m	Talba	Talba_rep16	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/063/SRR10614063/SRR10614063_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/063/SRR10614063/SRR10614063_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/063/SRR10614063/SRR10614063_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/063/SRR10614063/SRR10614063_2.fastq.gz
SRR10614064	SRP235361	Theobroma cacao leaf metagenome	SRX7293342	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree31	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree31	1297858	leaf metagenome	Fun_T31	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786636	-	SAMN13519335	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	51942	20825922	51942	31016366	Fun_T31_R1.fastq.gz	SRR10614064.sralite	7989788	2020-06-20 10:58:08	9b9aea634301cb725b2e5d67cb114753	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-4/SRR10614064/SRR10614064.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614064.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614064.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614064/SRR10614064.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.4977 E	143m	28.51	6.9m	Talba	Talba_rep15	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/064/SRR10614064/SRR10614064_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/064/SRR10614064/SRR10614064_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/064/SRR10614064/SRR10614064_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/064/SRR10614064/SRR10614064_2.fastq.gz
SRR10614065	SRP235361	Theobroma cacao leaf metagenome	SRX7293341	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree30	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree30	1297858	leaf metagenome	Fun_T30	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786634	-	SAMN13519334	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	116067	46558063	116067	69190286	Fun_T30_R1.fastq.gz	SRR10614065.sralite	17731969	2020-06-19 19:47:46	32110681072f7de32f5da3f5082c9270	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR10614065/SRR10614065.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614065.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614065.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614065/SRR10614065.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.4977 E	143m	28.51	7.8m	Talba	Talba_rep14	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/065/SRR10614065/SRR10614065_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/065/SRR10614065/SRR10614065_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/065/SRR10614065/SRR10614065_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/065/SRR10614065/SRR10614065_2.fastq.gz
SRR10614066	SRP235361	Theobroma cacao leaf metagenome	SRX7293340	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree29	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree29	1297858	leaf metagenome	Fun_T29	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786633	-	SAMN13519333	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	50274	20287005	50274	30090949	Fun_T29_R1.fastq.gz	SRR10614066.sralite	7751404	2020-06-19 19:47:46	ed1b236fe6d39557e729a9b0b1105796	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-9/SRR10614066/SRR10614066.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614066.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614066.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614066/SRR10614066.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.4977 E	143m	28.51	7.3m	Talba	Talba_rep13	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/066/SRR10614066/SRR10614066_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/066/SRR10614066/SRR10614066_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/066/SRR10614066/SRR10614066_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/066/SRR10614066/SRR10614066_2.fastq.gz
SRR10614067	SRP235361	Theobroma cacao leaf metagenome	SRX7293339	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree28	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree28	1297858	leaf metagenome	Fun_T28	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786632	-	SAMN13519332	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	20804	8357999	20804	12470163	Fun_T28_R1.fastq.gz	SRR10614067.sralite	3258406	2020-06-19 19:47:49	55bdf5eee427e3c10a29498aae7f4ea1	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR10614067/SRR10614067.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614067.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614067.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614067/SRR10614067.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.481 E	138m	27.01	8.9m	Talba	Talba_rep12	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/067/SRR10614067/SRR10614067_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/067/SRR10614067/SRR10614067_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/067/SRR10614067/SRR10614067_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/067/SRR10614067/SRR10614067_2.fastq.gz
SRR10614068	SRP235361	Theobroma cacao leaf metagenome	SRX7293338	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree27	Fungal endophyte communities in leaves of Theobroma cacao, sample Tree27	1297858	leaf metagenome	Fun_T27	AMPLICON	METAGENOMIC	PCR	PAIRED	SRS5786631	-	SAMN13519331	PRJNA594470	Illumina MiSeq	Illumina MiSeq	ILLUMINA	80988	33556914	80988	48568045	Fun_T27_R1.fastq.gz	SRR10614068.sralite	12445617	2020-06-19 19:48:01	2abf7aef97591bc126930086d87ee202	1	SRA Lite	Primary ETL	1	s3://sra-pub-zq-7/SRR10614068/SRR10614068.sralite.1	s3.us-east-1	aws identity	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614068.sralite.1	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614068.sralite.1	worldwide	anonymous	gs://sra-pub-zq-108/SRR10614068/SRR10614068.zq.1	gs.us-east1	gcp identity	-	2014	cropland biome	cacao plantation	leaf	Cameroon: Talba	Theobroma cacao	4.6189 N 11.481 E	138m	27.01	8.2m	Talba	Talba_rep11	MIGS/MIMS/MIMARKS.plant-associated	-	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/068/SRR10614068/SRR10614068_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/068/SRR10614068/SRR10614068_2.fastq.gz	-	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/068/SRR10614068/SRR10614068_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR106/068/SRR10614068/SRR10614068_2.fastq.gz
