Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR10614063,2020-03-12 09:40:51,2019-12-10 04:53:41,73219,43605277,73219,595,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614063.sralite.1,SRX7293343,Fun_T32,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786637,SAMN13519336,simple,1297858,leaf metagenome,Tree32,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,3678FF6290A9F27D1C3FBB95F3B0D8EF,0EC9187FFA58135EF4E869DBE14AAB35
SRR10614062,2020-03-12 09:40:51,2019-12-10 04:53:16,123636,74168797,123636,599,46,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614062.sralite.1,SRX7293344,Fun_T33,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786638,SAMN13519337,simple,1297858,leaf metagenome,Tree33,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,CDA6478EC7406E77FA31F5169A225B40,C32BD2E8DEA4869D9F76BD5AE690AE14
SRR10614061,2020-03-12 09:40:51,2019-12-10 04:52:56,64260,37623259,64260,585,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614061.sralite.1,SRX7293345,Fun_T34,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786639,SAMN13519338,simple,1297858,leaf metagenome,Tree34,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,B24CE7151FFA3700277300DE94ED8ADD,13052DC8243A006C9F7147B5C954A375
SRR10614060,2020-03-12 09:40:51,2019-12-10 04:52:31,10164,5967227,10164,587,3,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614060.sralite.1,SRX7293346,Fun_T35,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786640,SAMN13519339,simple,1297858,leaf metagenome,Tree35,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,66A82AD4F6F5E18C8C50F829C324C93E,8F78B6CB3445D7B1896C333DC4159AB1
SRR10614059,2020-03-12 09:40:51,2019-12-10 04:52:10,76746,45406069,76746,591,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/614/SRR10614059.sralite.1,SRX7293347,Fun_T36,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786641,SAMN13519340,simple,1297858,leaf metagenome,Tree36,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,6DD2EE2D561EA9CF48C529D6CD8D80FC,97B7E08D136EDFCAC1306A5252E291C3
SRR10614068,2020-03-12 09:40:51,2019-12-10 04:54:26,80988,48568045,80988,599,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614068.sralite.1,SRX7293338,Fun_T27,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786631,SAMN13519331,simple,1297858,leaf metagenome,Tree27,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,A8189DA80CE2C3011374A68396DE15C4,74E116D9E8BF9F93CE55875A13ECD72D
SRR10614067,2020-03-12 09:40:51,2019-12-10 04:54:06,20804,12470163,20804,599,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614067.sralite.1,SRX7293339,Fun_T28,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786632,SAMN13519332,simple,1297858,leaf metagenome,Tree28,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,8DC700A46796CD20BD91B54665C64462,E7CD84322DE652B51A3D76748FCA351F
SRR10614066,2020-03-12 09:40:51,2019-12-10 04:53:59,50274,30090949,50274,598,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614066.sralite.1,SRX7293340,Fun_T29,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786633,SAMN13519333,simple,1297858,leaf metagenome,Tree29,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,CABADA44CB51DD7F51C2A62C219267F6,E26F12AE083E149F47D3518AD2DF7E91
SRR10614065,2020-03-12 09:40:51,2019-12-10 04:54:00,116067,69190286,116067,596,44,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614065.sralite.1,SRX7293341,Fun_T30,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786634,SAMN13519334,simple,1297858,leaf metagenome,Tree30,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,D69828C6F4BECFDB719C86DF4865E297,37B44916D046FC6B0A8104811C101854
SRR10614064,2020-03-12 09:40:51,2019-12-10 04:53:38,51942,31016366,51942,597,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614064.sralite.1,SRX7293342,Fun_T31,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786636,SAMN13519335,simple,1297858,leaf metagenome,Tree31,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,BA80F7D48D5BD56322A9EC7F33E3F2AA,A0314C555544510F4F9A33D4988B1326
SRR10614069,2020-03-12 09:40:51,2019-12-10 04:54:35,109309,65481228,109309,599,41,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614069.sralite.1,SRX7293337,Bac_T10,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786647,SAMN13519314,simple,1297858,leaf metagenome,Tree10,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,C2D46AAFC5D0C40A7D97107D7345C9A5,FF5C175146A143B7CE6010CC95FBA991
SRR10614073,2020-03-12 09:40:50,2019-12-10 04:55:08,69604,41789432,69604,600,26,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614073.sralite.1,SRX7293333,Fun_T23,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786627,SAMN13519327,simple,1297858,leaf metagenome,Tree23,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,15131AEB6C37D8E7C4E6A13F1DED67E5,C80B51E452FCFEAF8FAE5DEF0A97297E
SRR10614072,2020-03-12 09:40:50,2019-12-10 04:55:02,76345,45651092,76345,597,29,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614072.sralite.1,SRX7293334,Fun_T24,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786628,SAMN13519328,simple,1297858,leaf metagenome,Tree24,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,FC7A25E8031502BB91AACAB5D474D85A,ED5FC7CE9FB72840428165ACDB066C0E
SRR10614071,2020-03-12 09:40:50,2019-12-10 04:54:38,25014,14934057,25014,597,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614071.sralite.1,SRX7293335,Fun_T25,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786629,SAMN13519329,simple,1297858,leaf metagenome,Tree25,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,29F05158E5C07566D34AD7388C184E55,2D38CB537B55F1E1E3D9CA9E4E1FE355
SRR10614070,2020-03-12 09:40:51,2019-12-10 04:54:39,42032,25214018,42032,599,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614070.sralite.1,SRX7293336,Fun_T26,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786630,SAMN13519330,simple,1297858,leaf metagenome,Tree26,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,0C33EA648495F084FF978974E42DC30B,FFD3490B72BAD2EEE6DA8ACA4FDE7454
SRR10614078,2020-03-12 09:40:50,2019-12-10 04:55:50,54324,32608163,54324,600,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614078.sralite.1,SRX7293328,Fun_T18,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786621,SAMN13519322,simple,1297858,leaf metagenome,Tree18,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,E72BEEA5BEB4DDE674CD389149EFB828,C42F6806E7C11A626AB10BB6772D3F06
SRR10614077,2020-03-12 09:40:50,2019-12-10 04:55:46,65758,38692912,65758,588,24,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614077.sralite.1,SRX7293329,Fun_T19,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786622,SAMN13519323,simple,1297858,leaf metagenome,Tree19,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,075F642A70646FC6B0D29F012384A36A,2271B429E4DE6E164E0E261CF4DBFC8C
SRR10614076,2020-03-12 09:40:50,2019-12-10 04:55:11,28564,13839059,28564,484,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614076.sralite.1,SRX7293330,Fun_T20,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786623,SAMN13519324,simple,1297858,leaf metagenome,Tree20,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,305383C99074F53AEB34BCDD22A180B4,C2985534D4AA4099473C4F2B7565E2CD
SRR10614075,2020-03-12 09:40:50,2019-12-10 04:55:18,151131,90369722,151131,597,57,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614075.sralite.1,SRX7293331,Fun_T21,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786625,SAMN13519325,simple,1297858,leaf metagenome,Tree21,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,5129AEADF43039766E950B68D619652B,E14F73FA273917A230F7F92DF92C0AE1
SRR10614074,2020-03-12 09:40:50,2019-12-10 04:55:12,123161,73901156,123161,600,46,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/614/SRR10614074.sralite.1,SRX7293332,Fun_T22,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP235361,PRJNA594470,,594470,SRS5786626,SAMN13519326,simple,1297858,leaf metagenome,Tree22,,,,,,,no,,,,,GENOMIC AND APPLIED MICROBIOLOGY & GOETTINGEN GENOMICS LABORATORY,SRA1008811,,public,78732E1C045F42DC21C279ABDA79E57B,630BC15E34560C11C40A14C764B67D27
